version min max avg stddev color
2.5	6.19984998102	7.08245865802	6.73042681852	0.24773362982514358 1
2.6	5.63724205702	6.68682943802	6.278808618520001	0.36370705968546735 2
2.7	5.57563061502	6.18448700202	5.77356218882	0.20631109963807073 3
2.8	5.486385927020001	5.94402787702	5.65664805052	0.15746915693173066 4
2.9	5.50135247202	5.8211930810200005	5.63337836212	0.08575149105877759 5
2.10	5.37638506902	5.86601025502	5.7386622992200005	0.16326157228979654 6
2.11	5.397949623020001	5.88063738902	5.50794494472	0.14080398271848363 7
2.12	5.43689260902	6.21983064502	5.85670426802	0.19056752674442404 8
2.13	5.77755052902	6.14864990902	5.9101657992200005	0.10872919523949631 9
2.14	5.87388233902	6.16555078502	5.98179133722	0.09576660841561313 10
2.15	5.3608001210200005	5.9425955120200005	5.70680820552	0.18636572405779997 11
2.16	5.96689796202	6.32768129802	6.10706263102	0.12578493295181578 12
2.17	5.99411359202	6.35688176602	6.24826375542	0.11925744445359382 13
2.18	6.09315904102	6.43717961902	6.2286138826199995	0.12303657318728645 14
2.19	5.95738273102	6.19509413102	6.064370212219999	0.08663023941804975 15
